Datetime;Area of dayzone / m2;Area of nightzone / m2;Q heating system building / W;TSensor of dayzone / K;TSensor of nightzone / K
3846000;64.0;64.0;0.0;289.644165039;289.582733154
3846600;64.0;64.0;0.0;289.61807251;289.539825439
3847200;64.0;64.0;0.0;289.592102051;289.496734619
3847800;64.0;64.0;0.0;289.56652832;289.453887939
3848400;64.0;64.0;0.0;289.541412354;289.411468506
3849000;64.0;64.0;0.0;289.51675415;289.369537354
3849600;64.0;64.0;0.0;289.492156982;289.327667236
3850200;64.0;64.0;0.0;289.467163086;289.285339355
3850800;64.0;64.0;0.0;289.44128418;289.241912842
3851400;64.0;64.0;0.0;289.414520264;289.197265625
3852000;64.0;64.0;0.0;289.386901855;289.151428223
3852600;64.0;64.0;398.127258301;289.358398438;289.147094727
3853200;64.0;64.0;534.051635742;289.328887939;289.146087646
3853800;64.0;64.0;665.537353516;289.298339844;289.145111084
3854400;64.0;64.0;793.483093262;289.26675415;289.144195557
3855000;64.0;64.0;917.993225098;289.234313965;289.143280029
3855600;64.0;64.0;1038.80957031;289.201202393;289.14239502
3856200;64.0;64.0;1156.17456055;289.167541504;289.141540527
3856800;64.0;64.0;1509.15917969;289.148254395;289.140686035
3857400;64.0;64.0;1709.90283203;289.147583008;289.139862061
3858000;64.0;64.0;1908.53955078;289.146972656;289.139068604
3858600;64.0;64.0;2110.56030273;289.14630127;289.138214111
3859200;64.0;64.0;2312.38378906;289.1456604;289.137390137
3859800;64.0;64.0;2509.65698242;289.145050049;289.136566162
3860400;64.0;64.0;2696.41601562;289.144470215;289.135772705
3861000;64.0;64.0;2867.35253906;289.143920898;289.135070801
3861600;64.0;64.0;3024.82958984;289.143432617;289.134399414
3862200;64.0;64.0;3173.52075195;289.142974854;289.133789062
3862800;64.0;64.0;11330.8144531;289.14251709;289.133178711
3863400;64.0;64.0;19347.2792969;290.383972168;290.19833374
3864000;64.0;64.0;19347.2792969;291.135375977;290.875610352
3864600;64.0;64.0;16651.9882812;291.563537598;291.096954346
3865200;64.0;64.0;16400.4082031;291.82019043;291.0987854
3865800;64.0;64.0;16216.9023438;291.989929199;291.100128174
3866400;64.0;64.0;16078.7958984;292.114715576;291.101135254
3867000;64.0;64.0;15974.0966797;292.214752197;291.101898193
3867600;64.0;64.0;15893.1796875;292.300201416;291.102508545
3868200;64.0;64.0;15829.8105469;292.376312256;291.102966309
3868800;64.0;64.0;15779.8964844;292.446014404;291.10333252
3869400;64.0;64.0;15740.3476562;292.510925293;291.103637695
3870000;64.0;64.0;15708.7353516;292.572143555;291.103851318
3870600;64.0;64.0;15683.3847656;292.630432129;291.104034424
3871200;64.0;64.0;15663.0927734;292.686218262;291.104187012
3871800;64.0;64.0;15646.7832031;292.739959717;291.104309082
3872400;64.0;64.0;15633.5283203;292.791931152;291.104400635
3873000;64.0;64.0;15622.5996094;292.842468262;291.104492188
3873600;64.0;64.0;15613.40625;292.891723633;291.104553223
3874200;64.0;64.0;15605.5957031;292.939971924;291.104614258
3874800;64.0;64.0;15599.0693359;292.987304688;291.104644775
3875400;64.0;64.0;15593.7353516;293.033782959;291.104705811
3876000;64.0;64.0;15589.5166016;293.079559326;291.104736328
3876600;64.0;64.0;15586.3554688;293.124603271;291.104766846
3877200;64.0;64.0;15584.2158203;293.169006348;291.104766846
3877800;64.0;64.0;15582.9042969;293.212799072;291.104766846
3878400;64.0;64.0;15582.0517578;293.256011963;291.104797363
3879000;64.0;64.0;15581.4550781;293.29876709;291.104797363
3879600;64.0;64.0;15580.9042969;293.341094971;291.104797363
3880200;64.0;64.0;15580.2138672;293.383026123;291.104797363
3880800;64.0;64.0;12757.4199219;293.424682617;291.104797363
3881400;64.0;64.0;9935.66113281;292.183197021;291.634277344
3882000;64.0;64.0;9935.66113281;291.490936279;291.954925537
3882600;64.0;64.0;12542.7802734;291.130889893;292.165222168
3883200;64.0;64.0;12707.7744141;291.129699707;292.316375732
3883800;64.0;64.0;12800.9755859;291.128997803;292.434692383
3884400;64.0;64.0;12875.9501953;291.128448486;292.533294678
3885000;64.0;64.0;12938.8818359;291.127990723;292.618743896
3885600;64.0;64.0;12991.8173828;291.127593994;292.694763184
3886200;64.0;64.0;13050.5917969;291.127166748;292.763824463
3886800;64.0;64.0;13111.3798828;291.126739502;292.827514648
3887400;64.0;64.0;13169.875;291.126312256;292.887084961
3888000;64.0;64.0;13224.5166016;291.12588501;292.943481445
3888600;64.0;64.0;13274.9443359;291.125518799;292.997619629
3889200;64.0;64.0;13322.0996094;291.125183105;293.049987793
3889800;64.0;64.0;13008.5410156;291.124847412;293.079803467
3890400;64.0;64.0;12899.9101562;291.124542236;293.080932617
3891000;64.0;64.0;12805.7353516;291.124267578;293.08190918
3891600;64.0;64.0;12723.3964844;291.123962402;293.082794189
3892200;64.0;64.0;12650.3330078;291.123687744;293.083618164
3892800;64.0;64.0;12583.7060547;291.123413086;293.084381104
3893400;64.0;64.0;12522.3085938;291.123168945;293.085083008
3894000;64.0;64.0;12465.3359375;291.122924805;293.085723877
3894600;64.0;64.0;12412.2539062;291.122680664;293.086364746
3895200;64.0;64.0;12362.8535156;291.122436523;293.086975098
3895800;64.0;64.0;12317.1103516;291.1222229;293.087524414
3896400;64.0;64.0;12274.7197266;291.122009277;293.088043213
3897000;64.0;64.0;12235.1357422;291.121765137;293.088562012
